timestamp,open,high,low,close,volume
1578182400000,7357.5,7501.42,7330.07,7359.96,179147746.87
1578268800000,7359.96,7799.63,7355.11,7762.69,352286216.57000005
1578355200000,7762.69,8218.63,7736.57,8160.36,600054472.25
1578441600000,8160.36,8458.65,7873.97,8045.15,699004342.6699998
1578528000000,8045.15,8047.11,7757.04,7817.35,316199456.87000006
1578614400000,7817.35,8192.05,7682.56,8190.31,441131626.2700001
1578700800000,8190.31,8287.42,8003.87,8024.58,250060123.9
1578787200000,8024.58,8185.14,7968.4,8181.49,142197585.81
1578873600000,8181.49,8200.4,8057.37,8106.56,184437465.65
1578960000000,8106.56,8874.07,8106.4,8820.95,768098458.9999999
1579046400000,8820.95,8890.04,8559.93,8813.21,441186933.77000004
1579132800000,8813.21,8846.78,8586.56,8719.63,290989712.91
1579219200000,8719.63,9004.35,8665.99,8894.83,432856377.78000003
1579305600000,8894.83,8974.65,8807.26,8909.28,176837362.24
1579392000000,8909.28,9177.39,8508.15,8702.59,421483277.32
1579478400000,8702.59,8737.36,8521.52,8634.03,189247381.47
1579564800000,8634.03,8771.75,8479.9,8724.84,196404470.18
1579651200000,8724.84,8793.74,8582.43,8667.26,149906743.87
1579737600000,8667.26,8680.93,8290.98,8394.28,323273085.38
1579824000000,8394.28,8517.5,8225.83,8431.78,233502998.73999998
1579910400000,8431.78,8444.32,8263.42,8345.88,119345600.29999998
1579996800000,8345.88,8605.33,8302.57,8602.37,189985702.22000003
1580083200000,8602.37,8991.01,8572.37,8898.94,329416202.6099999
1580169600000,8898.94,9407.39,8892.58,9391.97,471220882.56999993
1580256000000,9391.97,9429.16,9234.27,9286.18,345265419.2100001
1580342400000,9286.18,9561.26,9181.72,9501.38,430815723.67
1580428800000,9501.38,9518.87,9208.36,9342.23,292627757.99
1580515200000,9342.23,9455.92,9296.57,9384.45,138614091.60999998
1580601600000,9384.45,9469.84,9169.21,9334.25,225322638.39000002
1580688000000,9334.25,9605.66,9230.83,9288.96,312315107.48999995
1580774400000,9288.96,9347.12,9089.52,9171.98,244997961.96
1580860800000,9171.98,9750.28,9162.98,9611.42,448381299.87999994
1580947200000,9611.42,9853.08,9533.37,9755.84,410313693.84999996
1581033600000,9755.84,9866.18,9714.16,9808.36,249852208.27000007
1581120000000,9808.36,9936.26,9665.26,9898.25,244352034.44999996
1581206400000,9898.25,10162.71,9880.67,10157.78,340301629.7400002
1581292800000,10157.78,10185.09,9761.16,9858.03,406256357.79999995
1581379200000,9858.03,10370.44,9716.32,10269.43,495614707.99
1581465600000,10269.43,10475.43,10250.55,10347.93,449510878.91999996
1581552000000,10347.93,10500.54,10081.02,10233.32,507955951.95
1581638400000,10233.32,10387.37,10103.67,10360.37,297409586.8600001
1581724800000,10360.37,10388.6,9789.89,9905.43,300819428.5100001
1581811200000,9905.43,10042.6,9634.4,9925.51,272176494.52
1581897600000,9925.51,9958.46,9482.71,9702.48,359702988.15000004
1581984000000,9702.48,10274.35,9618.77,10182.6,382869718.91999996
1582070400000,10182.6,10300.04,9340.17,9602.43,473100344.44
1582156800000,9602.43,9698.59,9402.81,9608.8,352949373.65
1582243200000,9608.8,9766.16,9582.07,9697.86,293546157.48
1582329600000,9697.86,9720.21,9577.84,9671.46,118171544.81
1582416000000,9671.46,10011.4,9669.88,9977.39,228093371.60000005
1582502400000,9977.39,10019.3,9495.76,9664.21,331102536.15000004
1582588800000,9664.21,9682.05,9258.4,9316.18,329372824.73999995
1582675200000,9316.18,9379.07,8652.97,8793.5,588359496.46
1582761600000,8793.5,8978.84,8540.74,8821.5,413657559.37000006
1582848000000,8821.5,8908.8,8449.12,8719.29,360795192.35
1582934400000,8719.29,8815.63,8545.32,8545.45,146455562.42999998
1583020800000,8545.45,8776.71,8443.57,8549.38,219324311.08
1583107200000,8549.38,8983.78,8521.79,8919.74,290280969.43
1583193600000,8919.74,8940.69,8680.57,8765.68,252211805.91000003
1583280000000,8765.68,8863.91,8690.82,8773.78,194233894.04999998
1583366400000,8773.78,9179.74,8772.83,9074.82,305196274.31000006
1583452800000,9074.82,9183.26,9015.35,9160.39,192168163.60999995
1583539200000,9160.39,9225.42,8880.33,8903.72,187063951.76000002
1583625600000,8903.72,8920.28,8033.06,8057.67,533371350.2799999
1583712000000,8057.67,8200.82,7664.34,7944.4,682781069.2499999
1583798400000,7944.4,8165.09,7758.12,7894.66,427332546.47
1583884800000,7894.66,7998.79,7614.48,7945.36,372704355.25999993
1583971200000,7945.36,7984.16,4736.21,4916.78,1769476928.6600003
1584057600000,4916.78,5984.55,3948.92,5632.58,1663092005.8899999
1584144000000,5632.58,5665.57,5069.29,5181.77,474539626.47
1584230400000,5181.77,5961.78,5114.06,5357.02,568696762.62
1584316800000,5357.02,5364.93,4454.22,5045.0,996661883.3000001
1584403200000,5045.0,5561.43,4950.9,5337.66,618671971.76
1584489600000,5337.66,5451.02,5024.71,5413.06,576456805.6200001
1584576000000,5413.06,6418.99,5268.33,6184.88,868668216.68
